#{"t_start": 1753971910.623863, "env_id": "None"}
r,l,t
0.056758,1,18.576907
0.186903,1,18.592556
0.121729,1,18.598165
-0.20717,1,18.602059
-0.034888,1,18.642304
0.035414,1,18.676915
0.369445,1,18.685888
0.070351,1,18.696811
-0.163788,1,18.698389
0.185783,1,18.698882
0.436246,1,18.827305
0.166528,1,18.85104
0.071971,1,18.866672
0.369828,1,18.890884
0.376281,1,18.912682
0.54616,1,18.924201
-0.004024,1,18.934068
0.219033,1,18.944397
0.489117,1,18.949312
0.049543,1,18.949873
0.064755,1,18.952841
0.413208,1,18.962996
0.006733,1,18.976988
0.421875,1,19.059895
0.445129,1,19.070263
-0.049322,1,19.084527
-0.353041,1,19.111191
-0.079312,1,19.127981
0.164643,1,19.140567
-0.05122,1,19.154996
0.519736,1,19.15642
0.468871,1,19.178098
0.196359,1,19.198289
-0.139782,1,19.21413
-0.110895,1,19.216825
0.437047,1,19.231824
0.307349,1,19.25368
0.324913,1,19.286529
-0.064024,1,19.304482
0.055599,1,19.31165
0.11635,1,19.326524
-0.223532,1,19.328328
0.128238,1,19.387936
0.433052,1,19.403924
-0.234944,1,19.4364
0.253,1,19.488579
-0.247161,1,19.515843
-0.045095,1,19.524952
0.288591,1,19.52705
0.034899,1,19.527991
0.568663,1,19.537464
-0.039368,1,19.551396
0.127745,1,19.5825
0.251165,1,19.602853
0.063401,1,19.689491
0.444222,1,19.700995
0.200872,1,19.702081
0.218573,1,19.709349
0.075636,1,19.721845
-0.023138,1,19.753227
-0.05044,1,19.758916
-0.013768,1,19.788233
-0.121374,1,19.989838
-0.004614,1,20.011812
0.325399,1,20.050579
-0.130713,1,20.058845
-0.105046,1,20.076432
0.077713,1,20.077729
-0.094396,1,20.080355
-0.142293,1,20.135656
0.056734,1,20.152671
-0.090259,1,20.162388
-0.134707,1,20.199753
0.252502,1,20.222115
0.354663,1,20.223338
-0.177741,1,20.226507
-0.179466,1,20.248713
0.007517,1,20.270204
0.14852,1,20.272684
0.231481,1,20.278174
-0.335025,1,20.2797
-0.525385,1,20.287309
0.319266,1,20.293607
-0.08013,1,20.309157
-0.248784,1,20.320372
0.199613,1,20.321046
-0.058106,1,20.323044
0.160158,1,20.337969
0.182901,1,20.344767
-0.175101,1,20.356721
0.503846,1,20.367008
0.019672,1,20.369035
-0.116476,1,20.371141
0.211783,1,20.38124
0.2398,1,20.41172
-0.118107,1,20.438106
-0.074605,1,20.447459
0.301886,1,20.459749
0.148224,1,20.474951
-0.303356,1,20.488762
0.009244,1,20.525856
0.027734,1,20.544746
0.204126,1,20.561171
0.147283,1,20.592787
0.01561,1,20.605429
-0.076256,1,20.625868
0.027313,1,20.649396
0.354042,1,20.657552
-0.180159,1,20.662288
0.119029,1,20.695451
0.176398,1,20.802126
-0.110727,1,20.824144
0.171424,1,20.851989
0.399528,1,20.866016
0.057583,1,20.873237
0.269886,1,20.875785
0.019457,1,20.885096
-0.396899,1,20.896912
-0.345072,1,20.908169
0.04245,1,20.987453
0.171312,1,21.060082
0.46059,1,21.067922
-0.168603,1,21.070048
0.154103,1,21.092385
0.342742,1,21.100246
0.201614,1,21.116436
0.013378,1,21.145749
0.08487,1,21.154634
0.569513,1,21.178755
0.272338,1,21.193481
0.051388,1,21.215727
0.110878,1,21.222689
0.061389,1,21.235185
-0.122275,1,21.242351
-0.023126,1,21.248256
-0.134627,1,21.25279
-0.181429,1,21.278288
-0.055296,1,21.299231
0.044848,1,21.30478
-0.079588,1,21.313577
0.174257,1,21.337678
0.227478,1,21.354924
0.287224,1,21.379411
0.444945,1,21.406708
0.157241,1,21.426593
0.058865,1,21.443062
0.156717,1,21.444077
0.354012,1,21.45423
0.091423,1,21.472334
0.089797,1,21.551133
-0.06149,1,21.583808
-0.02774,1,21.585235
0.574199,1,21.602387
0.119272,1,21.603373
0.449774,1,21.616366
-0.145885,1,21.620388
-0.19235,1,21.682477
0.223168,1,21.705237
0.106596,1,21.778519
-0.367126,1,21.787604
0.145782,1,21.801892
0.386193,1,21.84208
0.010035,1,21.853881
0.072678,1,21.861117
-0.179622,1,21.882197
0.265084,1,21.894513
0.032156,1,21.900606
0.052217,1,21.928112
0.309221,1,21.930062
0.544664,1,21.946969
-0.17542,1,21.976504
0.134049,1,21.978135
0.09559,1,22.010467
-0.08146,1,22.018959
-0.082783,1,22.019495
0.283418,1,22.032987
0.179617,1,22.087083
0.282781,1,22.090312
0.183153,1,22.096333
-0.028997,1,22.099372
0.122548,1,22.103161
-0.132294,1,22.120734
0.054328,1,22.122897
0.058156,1,22.130424
-0.101505,1,22.138468
-0.085591,1,22.146221
0.085774,1,22.149165
0.129489,1,22.163647
-0.014331,1,22.181185
0.190268,1,22.1903
0.029772,1,22.215068
0.517693,1,22.224012
-0.059054,1,22.315812
0.246895,1,22.335457
-0.040094,1,22.369041
0.219005,1,22.385205
0.243289,1,22.396911
-0.339705,1,22.412413
0.099593,1,22.426705
0.460865,1,22.44523
0.269407,1,22.456273
0.750232,1,22.46697
0.079778,1,22.476051
0.13448,1,22.538559
0.106089,1,22.54549
-0.027178,1,22.563152
0.031017,1,22.571249
0.284047,1,22.592314
0.180385,1,22.606817
0.091795,1,22.610731
0.405079,1,22.615353
-0.011062,1,22.624167
0.031553,1,22.651504
0.066338,1,22.670985
0.674903,1,22.692545
-0.036073,1,22.728948
0.278525,1,22.743171
0.01416,1,22.761146
0.409957,1,22.77081
0.123268,1,22.779628
-0.022481,1,22.781485
-0.304818,1,22.798646
0.038514,1,22.80089
-0.038326,1,22.804473
0.393384,1,22.819377
0.368081,1,22.842287
0.290722,1,22.859344
0.013409,1,22.871949
0.128775,1,22.874075
0.072326,1,22.878009
0.21782,1,22.903643
-0.069696,1,22.914823
-0.028232,1,22.918292
-0.083653,1,22.928377
-0.241635,1,22.938398
0.23784,1,23.085742
0.052206,1,23.088539
0.223641,1,23.101361
0.163859,1,23.1055
0.075387,1,23.129943
0.257126,1,23.15455
0.254898,1,23.170604
0.135987,1,23.180644
0.003915,1,23.184027
0.453203,1,23.207079
-0.117108,1,23.223057
0.029613,1,23.227561
0.082201,1,23.241019
0.287328,1,23.243195
-0.223107,1,23.266961
0.155758,1,23.283059
-0.119007,1,23.305621
0.354448,1,23.326269
0.211368,1,23.335632
-0.210591,1,23.386541
0.034364,1,23.387624
0.506981,1,23.391123
-0.624782,1,23.566508
-0.068788,1,23.572193
-0.055809,1,23.574077
-0.04045,1,23.581761
-0.033352,1,23.582844
0.427284,1,23.592758
0.074282,1,23.601314
0.244109,1,23.615538
0.273822,1,23.61743
0.181964,1,23.637332
-0.02451,1,23.640185
-0.066282,1,23.675518
-0.029136,1,23.681166
0.291704,1,23.697929
-0.156001,1,23.713961
0.505896,1,23.727325
0.580205,1,23.736795
0.085844,1,23.76196
0.10879,1,23.782034
0.132862,1,23.802594
0.170367,1,23.844795
0.429946,1,23.860049
0.077474,1,23.874178
0.030409,1,23.902365
0.01275,1,23.903669
0.033736,1,23.917596
-0.071935,1,23.944417
-0.002932,1,23.951945
0.171225,1,23.966151
0.427957,1,24.003048
0.243699,1,24.021335
0.073346,1,24.148287
-0.015779,1,24.165868
0.182331,1,24.188592
0.424296,1,24.194223
0.139737,1,24.209417
-0.077805,1,24.235761
-0.137596,1,24.275539
0.504936,1,24.301141
0.164868,1,24.302232
0.095237,1,24.339438
0.221814,1,24.347561
-0.052958,1,24.354338
-0.117264,1,24.395001
-0.052586,1,24.398474
0.199433,1,24.401847
0.13044,1,24.402657
-0.225873,1,24.429609
0.194506,1,24.460797
-0.101561,1,24.508602
-0.085077,1,24.597368
-0.382548,1,24.747312
-0.335885,1,24.765849
0.01191,1,24.767489
-0.016203,1,24.77029
-0.095569,1,24.77943
0.460796,1,24.797532
-0.280297,1,24.844144
0.078138,1,24.851707
0.234813,1,24.856952
0.40853,1,24.863894
0.174872,1,24.867704
0.31483,1,24.897065
0.222014,1,24.907465
0.252569,1,24.915447
0.064526,1,24.930178
0.091281,1,24.97
0.049421,1,24.98834
0.111171,1,25.013298
0.070002,1,25.017157
0.072383,1,25.057173
-0.07817,1,25.06102
-0.263462,1,25.062536
-0.108218,1,25.274068
-0.095471,1,25.277198
0.067956,1,25.301822
0.331591,1,25.415255
0.132319,1,25.418416
0.005044,1,25.421226
-0.060566,1,25.42189
0.6573,1,25.433719
0.009222,1,25.447224
0.250894,1,25.461749
-0.208741,1,25.47176
-0.134981,1,25.497257
0.061035,1,25.511226
-0.123732,1,25.513148
0.214639,1,25.528224
0.358946,1,25.545292
-0.198922,1,25.547448
0.543086,1,25.561582
0.008282,1,25.565467
-0.368647,1,25.579968
0.178046,1,25.587525
0.197009,1,25.617231
0.164567,1,25.637026
0.463245,1,25.654137
0.018912,1,25.663462
-0.154471,1,25.676062
-0.161574,1,25.690486
0.055057,1,25.787419
-0.062293,1,25.81028
0.34764,1,25.830811
0.059313,1,25.834671
-0.297809,1,25.837331
0.23863,1,25.842134
-0.098843,1,25.84435
-0.229832,1,25.84964
0.131775,1,25.875555
0.496428,1,25.907503
-0.274096,1,25.915641
-0.073832,1,25.916628
0.236688,1,25.92991
0.596251,1,25.936422
0.068342,1,25.953858
0.289209,1,25.955146
-0.219263,1,25.974816
-0.038286,1,25.982055
0.542023,1,25.992809
0.172111,1,26.000133
0.427128,1,26.014789
0.199547,1,26.0242
0.241337,1,26.050619
0.010217,1,26.07385
0.006149,1,26.081404
-0.03243,1,26.101717
0.123433,1,26.133709
-0.005307,1,26.170333
0.004127,1,26.265606
0.020114,1,26.273396
0.211369,1,26.278383
0.137925,1,26.297247
0.07981,1,26.299953
0.677644,1,26.316732
0.132446,1,26.320902
0.206594,1,26.324344
0.460966,1,26.333881
-0.298082,1,26.480797
0.362986,1,26.482328
0.185634,1,26.497888
-0.242414,1,26.521384
0.00809,1,26.560467
-0.105506,1,26.562448
-0.155344,1,26.614632
0.473737,1,26.628702
-0.052635,1,26.636225
0.182718,1,26.65642
0.431811,1,26.667768
0.233417,1,26.671028
-0.024675,1,26.687267
0.244908,1,26.709768
0.274587,1,26.721501
-0.102964,1,26.740266
0.611207,1,26.747587
0.085816,1,26.754914
-0.062802,1,26.771173
0.101906,1,26.776458
-0.271321,1,26.789638
0.125862,1,26.812142
0.304082,1,26.868242
0.016811,1,26.871508
-0.184039,1,26.883541
0.088283,1,26.887711
-0.037826,1,26.900793
-0.057314,1,26.910463
0.091284,1,26.928504
-0.232911,1,26.931727
0.435664,1,26.953639
0.264294,1,26.967949
0.341181,1,26.988687
-0.149663,1,27.00049
0.04178,1,27.020118
0.026215,1,27.039087
0.014451,1,27.055964
0.088734,1,27.058591
0.039638,1,27.070254
0.340265,1,27.131726
0.401641,1,27.132784
0.220086,1,27.223147
0.232421,1,27.231826
0.172086,1,27.371496
0.117898,1,27.374191
-0.145536,1,27.479983
0.341513,1,27.493609
0.085259,1,27.509145
-0.133907,1,27.523326
-0.031504,1,27.538911
-0.059689,1,27.568946
-0.422311,1,27.63374
0.02091,1,27.797506
-0.030813,1,27.803966
-0.06004,1,27.815086
0.321978,1,27.893034
0.079968,1,27.89852
0.256257,1,28.02145
0.004304,1,28.045516
-0.236909,1,28.088636
0.357415,1,28.114028
0.293207,1,28.132191
0.080035,1,28.135528
0.089327,1,28.154765
0.0173,1,28.195507
0.155709,1,28.199492
0.029267,1,28.232684
0.13326,1,28.250415
0.543964,1,28.263945
0.278737,1,28.280457
-0.14584,1,28.309258
-0.143196,1,28.31315
0.223347,1,28.327005
0.415163,1,28.329864
0.006299,1,28.387455
0.133711,1,28.393412
0.109955,1,28.518307
0.359788,1,28.539704
0.143776,1,28.543141
0.530544,1,28.556196
0.2175,1,28.578474
0.557058,1,28.588968
0.061271,1,28.593871
-0.181638,1,28.596133
-0.264156,1,28.601037
0.187497,1,28.619536
-0.053612,1,28.850694
-0.2959,1,28.867042
0.386132,1,28.89456
0.151502,1,28.929571
0.176741,1,29.005368
0.055865,1,29.006406
0.111568,1,29.015666
-0.128064,1,29.046829
-0.281569,1,29.076032
0.294735,1,29.080887
0.304398,1,29.089046
-0.082028,1,29.107774
-0.268015,1,29.117238
0.477701,1,29.132993
0.008393,1,29.134578
-0.0896,1,29.155035
-0.134666,1,29.155907
-0.066168,1,29.165086
-0.200086,1,29.186438
-0.172368,1,29.200895
0.196966,1,29.227312
-0.094659,1,29.238318
-0.142075,1,29.283335
0.154117,1,29.292959
-0.074098,1,29.294903
0.314927,1,29.331476
0.091429,1,29.343185
0.413611,1,29.346961
0.134683,1,29.366067
-0.105625,1,29.367526
0.073646,1,29.374132
0.404331,1,29.383712
0.27852,1,29.395994
-0.146887,1,29.39878
-0.12552,1,29.404317
0.022099,1,29.409874
